asset_id,component_name,version,ecosystem,source,vulnerability_id,cve_ids,summary,details,modified,published,aliases
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-2gwj-7jmv-h26r,['CVE-2022-28346'],SQL Injection in Django,"An issue was discovered in Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4. `QuerySet.annotate()`, `aggregate()`, and `extra()` methods are subject to SQL injection in column aliases via a crafted dictionary (with dictionary expansion) as the passed `**kwargs`.",2025-02-21T05:41:10.759178Z,2022-04-13T00:00:33Z,"['BIT-django-2022-28346', 'CVE-2022-28346', 'PYSEC-2022-190']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-2hrw-hx67-34x6,['CVE-2023-24580'],Resource exhaustion in Django,"An issue was discovered in the Multipart Request Parser in Django 3.2 before 3.2.18, 4.0 before 4.0.10, and 4.1 before 4.1.7. Passing certain inputs (e.g., an excessive number of parts) to multipart forms could result in too many open files or memory exhaustion, and provided a potential vector for a denial-of-service attack.",2025-03-19T15:45:19.599334Z,2023-02-15T03:30:47Z,"['BIT-django-2023-24580', 'CVE-2023-24580', 'PYSEC-2023-13']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-53qw-q765-4fww,['CVE-2021-45115'],Denial-of-service in Django,"An issue was discovered in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1. `UserAttributeSimilarityValidator` incurred significant overhead in evaluating a submitted password that was artificially large in relation to the comparison values. In a situation where access to user registration was unrestricted, this provided a potential vector for a denial-of-service attack.",2024-09-20T16:09:39.890846Z,2022-01-12T19:20:53Z,"['BIT-django-2021-45115', 'CVE-2021-45115', 'PYSEC-2022-1']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-6cw3-g6wv-c2xv,['CVE-2022-23833'],Infinite Loop in Django,"An issue was discovered in MultiPartParser in Django 2.2 before 2.2.27, 3.2 before 3.2.12, and 4.0 before 4.0.2. Passing certain inputs to multipart forms could result in an infinite loop when parsing files.",2024-09-20T15:47:27.155401Z,2022-02-04T00:00:26Z,"['BIT-django-2022-23833', 'CVE-2022-23833', 'PYSEC-2022-20']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-6w2r-r2m5-xq5w,['CVE-2025-57833'],Django is subject to SQL injection through its column aliases,"An issue was discovered in Django 4.2 before 4.2.24, 5.1 before 5.1.12, and 5.2 before 5.2.6. FilteredRelation is subject to SQL injection in column aliases, using a suitably crafted dictionary, with dictionary expansion, as the **kwargs passed QuerySet.annotate() or QuerySet.alias().",2026-06-05T14:45:50.840275748Z,2025-09-08T18:31:31Z,"['BIT-django-2025-57833', 'CVE-2025-57833', 'PYSEC-2025-105']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-7h4p-27mh-hmrw,['CVE-2023-41164'],Django Denial of service vulnerability in django.utils.encoding.uri_to_iri,"In Django 3.2 before 3.2.21, 4.1 before 4.1.11, and 4.2 before 4.2.5, django.utils.encoding.uri_to_iri() is subject to a potential DoS (denial of service) attack via certain inputs with a very large number of Unicode characters.",2025-11-04T21:28:04.529768Z,2023-11-03T06:36:29Z,"['BIT-django-2023-41164', 'CVE-2023-41164', 'PYSEC-2023-225']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-7xr5-9hcq-chf9,['CVE-2025-48432'],Django Improper Output Neutralization for Logs vulnerability,"An issue was discovered in Django 5.2 before 5.2.2, 5.1 before 5.1.10, and 4.2 before 4.2.22. Internal HTTP response logging does not escape request.path, which allows remote attackers to potentially manipulate log output via crafted URLs. This may lead to log injection or forgery when logs are viewed in terminals or processed by external systems.",2026-02-04T03:48:05.224740Z,2025-06-05T03:30:58Z,"['BIT-django-2025-48432', 'CVE-2025-48432', 'PYSEC-2025-47']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-8c5j-9r9f-c6w8,['CVE-2021-45116'],Information disclosure in Django,"An issue was discovered in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1. Due to leveraging the Django Template Language's variable resolution logic, the dictsort template filter was potentially vulnerable to information disclosure, or an unintended method call, if passed a suitably crafted key.",2025-02-21T05:29:59.213830Z,2022-01-12T19:21:10Z,"['BIT-django-2021-45116', 'CVE-2021-45116', 'PYSEC-2022-2']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-8x94-hmjh-97hq,['CVE-2022-36359'],Django vulnerable to Reflected File Download attack,An issue was discovered in the HTTP FileResponse class in Django 3.2 before 3.2.15 and 4.0 before 4.0.7. An application is vulnerable to a reflected file download (RFD) attack that sets the Content-Disposition header of a FileResponse when the filename is derived from user-supplied input.,2026-02-04T02:45:55.690257Z,2022-08-11T14:49:12Z,"['BIT-django-2022-36359', 'CVE-2022-36359', 'PYSEC-2022-245']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-95rw-fx8r-36v6,['CVE-2022-22818'],Cross-site Scripting in Django,"The `{% debug %}` template tag in Django 2.2 before 2.2.27, 3.2 before 3.2.12, and 4.0 before 4.0.2 does not properly encode the current context. This may lead to XSS.",2024-09-20T15:47:46.984048Z,2022-02-04T00:00:33Z,"['BIT-django-2022-22818', 'CVE-2022-22818', 'PYSEC-2022-19']"
